Index,Variant,Country,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)",Projection
1,Vital Statistics,China,,,,,,,2022,1411800.00,1411800.00,,,,,,-850.00,-0.60,,,,9560.00,,6.77,,,,,10410.00,,,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
2,Vital Statistics,India,,,,,,,2022,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
3,Vital Statistics,United States of America,,,,,,,2022,333287.56,333287.56,,,,,,394.05,1.18,,,,3667.76,,11.00,,,,,3273.71,,,9.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
4,Vital Statistics,Indonesia,,,,,,,2022,275773.80,275773.80,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
5,Vital Statistics,Pakistan,,,,,,,2022,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
6,Vital Statistics,Brazil,,,,,,,2022,203080.76,203080.76,,,,,,1095.00,5.39,,,,2575.00,,12.68,,,,,1480.00,,,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
7,Vital Statistics,Nigeria,,,,,,,2022,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
8,Vital Statistics,Bangladesh,,,,,,,2022,169828.91,169828.91,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
9,Vital Statistics,Russian Federation,,,,,,,2022,146447.00,146447.00,,,,,,-599.62,-4.09,,,,1306.16,,8.92,,,,,1905.78,,,13.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
10,Vital Statistics,Japan,,,,,,,2022,124947.00,124947.00,,,,,,-782.31,-6.26,,,,799.73,,6.40,,,,,1582.03,,,12.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
11,Vital Statistics,Mexico,,,,,,,2022,0.00,0.00,,,,,,1298.54,0.00,,,,2087.10,,0.00,,,,,788.55,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
12,Vital Statistics,Ethiopia,,,,,,,2022,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
13,Vital Statistics,Philippines,,,,,,,2022,111572.25,111572.25,,,,,,775.63,6.95,,,,1455.39,,13.04,,,,,679.77,,,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
14,Vital Statistics,Egypt,,,,,,,2022,104395.00,104395.00,,,,,,1583.80,15.17,,,,2190.49,,20.98,,,,,606.69,,,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
15,Vital Statistics,Viet Nam,,,,,,,2022,99461.70,99461.70,,,,,,905.10,9.10,,,,1511.80,,15.20,,,,,606.70,,,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
16,Vital Statistics,Democratic Republic of the Congo,,,,,,,2022,0.00,0.00,,,,,,0.00,0.00,,,,0.00,,0.00,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
17,Vital Statistics,Iran (Islamic Republic of),,,,,,,2022,0.00,0.00,,,,,,679.50,0.00,,,,1075.23,,0.00,,,,,395.73,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
18,Vital Statistics,Türkiye,,,,,,,2022,85279.55,85279.55,,,,,,530.96,6.23,,,,1035.80,,12.15,,,,,504.84,,,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
19,Vital Statistics,Germany,,,,,,,2022,84358.85,84358.85,,,,,,-327.52,-3.88,,,,738.82,,8.76,,,,,1066.34,,,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
20,Vital Statistics,Thailand,,,,,,,2022,0.00,0.00,,,,,,-99.77,0.00,,,,485.09,,0.00,,,,,584.85,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
21,Vital Statistics,United Kingdom,,,,,,,2022,67596.30,67596.30,,,,,,15.86,0.23,,,,673.14,,9.96,,,,,657.28,,,9.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
22,Vital Statistics,France,,,,,,,2022,65834.84,65834.84,,,,,,28.13,0.43,,,,686.56,,10.43,,,,,658.43,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
